
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-08-14


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1605,1588,1586,1582,1581,1575,1574,1557,1554,1553,1552,1551,1550,1549,1548,1547,1546,1545,1544,1543,1542,1541,1540,1539,1538,1537,1536,1535,1534,1533,1532,1531,1530,1529,1528,1527,1526,1525,1524,1523,1521,1520,1519,1518,1517,1515,1514,1513,1512,1511,1510,1509,1508,1507,1506,1505,1504,1503,1502,1501,1500,1499,1498,1497,1496,1495,1494,1493,1492,1491,1490,1489,1488,1487,1486,1485,1484,1483,1482,1481,1480,1479,1478,1477,1476,1475,1472,1471,1380,1350,1347,1304,1303,1302,1301,1300,1297,1296,1295,1294,1293,1291,1290,1289,1288,1287,1286,1285,1284,1283,1282,1281,1280,1279,1278,1277,1276,1275,1274,1271,1270,1269,1268,1267,1266,1265,1264,1263,1262,1261,1260,1259,1258,1256,1247,1246,1245,1244,1243,1240,1239,1238,1237,1236,1235,1234,1233,1232,1231,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1205,1204,1203,1202,1201,1200,1199,1198,1197,1196,1195,1194,1193,1190,1189,1187,1186,1094,1091,1088,1087,1086,1085,1084,1083,1082,1080,1077,1076,1074,1072,1070,1063,1062,1057,1053,1052,1049,1048,1045,1044,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1004,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,983,982,981,978,976,975,974,971,970,968,967,966,965,964,963,962,961,960,959,957,956,954,953,952,951,950,949,948,945,942,718,705,704,703,701,700,699,698,697,696,695,694,692,691,690,688,683,673,672,671,670,667,666,665,664,663,661,656,655,654,652,650,649,648,646,645,642,641,640,639,638,637,636,635,634,633,632,629,628,627,626,625,624,622,621,620,618,617,616,615,614,613,612,611,608,607,605,604,602,599,598,597,596,595,594,593,592,591,590,589,547,546,545,544,543,368,292,291,290,289,288,287,286,285,284,232,231,230,215,214,213,212,210,122,95
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 95, -, 1.0, -, 4.9, 10.6, 2.0, "Managua_ Nicaragua-01", 1972, "Managua_ ESSO", 6.24, strike slip, 3.51, 4.06, 288.77, 0.375, 1.0, RSN95_MANAGUA_A-ESO090.AT2, RSN95_MANAGUA_A-ESO180.AT2 , RSN95_MANAGUA_A-ESODWN.AT2  
2, SRSS, 122, -, 1.0, -, 10.5, 19.0, 0.1, "Friuli_ Italy-01", 1976, "Codroipo", 6.5, Reverse, 33.32, 33.4, 249.28, 0.125, 1.0, RSN122_FRIULI.A_A-COD000.AT2, RSN122_FRIULI.A_A-COD270.AT2 , RSN122_FRIULI.A_A-COD-UP.AT2  
3, SRSS, 210, -, 1.0, -, 3.6, 10.3, 0.0, "Livermore-01", 1980, "APEEL 3E Hayward CSUH", 5.8, strike slip, 29.19, 30.59, 517.06, 0.25, 1.0, RSN210_LIVERMOR_A-A3E146.AT2, RSN210_LIVERMOR_A-A3E236.AT2 , RSN210_LIVERMOR_A-A3E-UP.AT2  
4, SRSS, 212, -, 1.0, -, 4.8, 12.1, 0.2, "Livermore-01", 1980, "Del Valle Dam (Toe)", 5.8, strike slip, 23.92, 24.95, 403.37, 0.1625, 1.0, RSN212_LIVERMOR_A-DVD156.AT2, RSN212_LIVERMOR_A-DVD246.AT2 , RSN212_LIVERMOR_A-DVD-UP.AT2  
5, SRSS, 213, -, 1.0, -, 6.7, 10.1, 0.0, "Livermore-01", 1980, "Fremont - Mission San Jose", 5.8, strike slip, 34.66, 35.68, 367.57, 0.25, 1.0, RSN213_LIVERMOR_A-FRE075.AT2, RSN213_LIVERMOR_A-FRE345.AT2 , RSN213_LIVERMOR_A-FRE-UP.AT2  
6, SRSS, 214, -, 1.0, -, 7.8, 14.2, 0.2, "Livermore-01", 1980, "San Ramon - Eastman Kodak", 5.8, strike slip, 15.19, 17.24, 377.51, 0.15, 1.0, RSN214_LIVERMOR_A-KOD180.AT2, RSN214_LIVERMOR_A-KOD270.AT2 , RSN214_LIVERMOR_A-KOD-UP.AT2  
7, SRSS, 215, -, 1.0, -, 13.5, 27.1, 0.1, "Livermore-01", 1980, "San Ramon Fire Station", 5.8, strike slip, 15.84, 17.93, 384.47, 0.25, 1.0, RSN215_LIVERMOR_A-SRM070.AT2, RSN215_LIVERMOR_A-SRM340.AT2 , RSN215_LIVERMOR_A-SRM-UP.AT2  
8, SRSS, 230, -, 1.0, -, 7.1, 9.6, 2.6, "Mammoth Lakes-01", 1980, "Convict Creek", 6.06, Normal Oblique, 1.1, 6.63, 382.12, 0.25, 1.0, RSN230_MAMMOTH.I_I-CVK090.AT2, RSN230_MAMMOTH.I_I-CVK180.AT2 , RSN230_MAMMOTH.I_I-CVK-UP.AT2  
9, SRSS, 231, -, 1.0, -, 7.5, 10.9, 1.3, "Mammoth Lakes-01", 1980, "Long Valley Dam (Upr L Abut)", 6.06, Normal Oblique, 12.56, 15.46, 537.16, 0.1375, 1.0, RSN231_MAMMOTH.I_I-LUL000.AT2, RSN231_MAMMOTH.I_I-LUL090.AT2 , RSN231_MAMMOTH.I_I-LUL-UP.AT2  
10, SRSS, 232, -, 1.0, -, 5.3, 8.2, 0.8, "Mammoth Lakes-01", 1980, "Mammoth Lakes H. S.", 6.06, Normal Oblique, 4.48, 4.67, 346.82, 0.25, 1.0, RSN232_MAMMOTH.I_I-MLS254.AT2, RSN232_MAMMOTH.I_I-MLS344.AT2 , RSN232_MAMMOTH.I_I-MLS-UP.AT2  
